Nombre,Título,Categoría,Tiempo (min),Dificultad,Ingredientes,Calorías,Proteínas,Carbohidratos,Grasas,Procedimiento,Número de Pasos
salsa-barbacoa-ahumada,Salsa barbacoa ahumada,Salsas y guarniciones,12,1,"Azúcar moreno, Vinagre de vino tinto, Salsa Perrins, Kétchup, Mostaza, Sal, Pimienta negra, Pimentón dulce de la Vera, Tabasco, Humo líquido",496.91384,3.5065824500000002,128.080649875,0.9622622500000002,"Introducimos en el vaso el azúcar, el pimentón, el ketchup, la mostaza, el vinagre, la pimienta, la salsa inglesa, la sal y el tabasco. Batimos durante 12 minutos a 100 grados y a velocidad 3. Ahora echamos el humo líquido y terminamos de batir.",2
rissoto-de-algas-deshidratadas,Rissoto de algas con vegetales deshidratados,Arroces,29,2,"Aceite de oliva extra, Preparado de arroz rissoto de algas con vegetales deshidratados, Sal, Vino blanco para cocinar, Agua",155.66666666666666,0.08333333333333333,1.05,16.666666666666668,"Calentar el aceite Incorporar el contenido de la bandeja de rissoto de algas con vegetales deshidratados TREVIJANO y remover Añadir sal y vino blanco y remover hasta que se evapore Añadir agua caliente hasta cubrir las aspas de la paleta para que se suelte bien el arroz que se ha quedado pegado (500 ml aprox) y el resto (250 ml) poco a poco una vez se homogenice la mezcla, manteniendo la textura cremosa hasta el final del tiempo de cocción. Se puede añadir parte o todo de caldo de pescado y en los últimos 5 minutos añadir unas gambas peladas. O hacer lo mismo con caldo de carne y añadir en los diez últimos minutos una pechuga de pollo o un filete de ternera cortados en trocitos. Sacar el risotto de la jarra y si te gusta añadir parmesano, revolver y servir.",5
tronco-de-nata-y-trufa,Tronco de nata y trufa,Dulces y repostería,33,1,"Nata líquida para montar, Cacao desgrasado 0% en polvo, Azúcar, Huevos, Harina, Sal, Agua, Ron",853.1546066666665,12.429391333333333,52.83967950000001,64.57157183333334,"montar la nata y separar en dos mitades, a una de ellas se le añade el cacao para hacer la trufa, reservar en la nevera. poner la mariposa , añadir el azúcar y los huevos seguir mezclando sin temperatura agregar la harina y la sal y mezclar precalentar el horno a 180ºC , verter la masa en la bandeja de horno cubierta de papel de horno engrasado con mantequilla o aceite de girasol, debe tener un grosor de 0.5cm aproximadamente la plancha. Hornear 10 minutos y al sacarlo del horno enrollar y dejar enfriar. hacer un jarabe y dejar enfriar desenrollar el bizcocho, pincharlo con un tenedor y verter el jarabe para que lo empape, extender la nata montada en la plancha de bizcocho y enrollar, cortar los dos extremos del tronco para dejar los cortes bonitos , uno ponerlo en un lateral y otro encima del tronco, cubrir todo con la trufa reservada anteriormente y con un tenedor hacer las rayas imitando a un tronco, adornar con azúcar glas, chocolates, fideos de colores...etc... al gusto",7
pisto-de-verduras-escondido-en-tomate-frito,"Pisto de verduras, escondido en tomate frito",Salsas y guarniciones,15,1,"Aceite de oliva, Ajo, Cebolla, Pimiento verde, Zanahoria, Calabacín, Berenjena, Tomate frito casero, Sal, Pimienta molida",125.85400000000003,2.2863433333333334,13.140333333333333,8.034006666666665,"Calentar aceite Añadimos un diente de ajo y la cebolla o cebolleta, y sofreímos Añadimos pimiento y zanahoria, está última a trozos no muy grandes para que a la máquina no le cueste mucho Ahora toca añadir calabacín y berenjena, y cocinar todo junto Le damos a todo un par de golpes de turbo para que luego no se note nada Añadimos el tomate frito estilo Casero, sal y una pizca de pimienta (se le podría añadir algo más picante, pero yo como es para niños no le pongo nada más) y cocinamos todo junto, al terminar le puedes dar otro golpe de turbo",6
crepes-dulces-ana,Crepês Ana,Dulces y repostería,0,1,"Harina de repostería, Leche, Huevos, Anís, Sal, Azúcar",193.14090833333333,6.862133333333333,28.929732166666668,3.505216666666667,"Ponemos todos los ingredientes para la masa de crepes. Engrasamos una sartén con un poco de mantequilla y cuando esté bien caliente, echamos un cacito de la masa por la sartén haciendo que se extienda por toda la superficie. Cuando esté dorada, le damos la vuelta y doramos por el otro lado. Retiramos en un plato y reservamos.",2
harina-de-algarroba,Harina de algarroba,Masas,105,2,"Algarrobas, Agua",0.0,0.0,0.0,0.0,"Limpiamos las algarrobas con abundante agua, lo ideal seria dejarlas la noche anterior en agua y asi también se ablandan. Dejamos secar las algarrobas al sol Hornear las algarrobas a baja temperatura, 130° grados una hora, con calor arriba y abajo. Poniendolas en una bandeja de horno por separado, algarroba al lado una de otra, para que asi todas queden horneadas por igual. Una vez frias del horneado, cortar cada algarroba por la mitad y retirar las semillas. Cortar cada algarroba de un tamaño similar para que el siguiente proceso de hacerlas harina sea por igual. Introduciremos de poco a poco los trozos de algarroba en la batidora de mycook, para que asi sea mas efectivo el molido. Unos 200gr de algarroba a velocidad 5 aumentando progresivamente la velocidad hasta llegar al 10. Parar de vez en cuando para que no se cree una masa.",5
bunuelos-de-hojaldre-rellenos-de-crema,Buñuelos de hojaldre rellenos de crema,Dulces y repostería,35,1,"Masa de hojaldre con mantequilla, Huevo L, Leche, Yema de huevo, Azúcar, Azúcar avainillada, Canela en polvo, Azúcar glas",1196.394,37.71556,160.94224000000003,45.861459999999994,"Realizar discos con un cortador Redondo Coge un disco de hojaldre y aplica  huevo batido por los bordes, colocando otro disco encima  y presiona los bordes para pegarlos, a este disco le aplicas huevo batido. Hornear el hojaldre, hasta que esté doradito, dependiendo del horno. Tras colocar la paleta mezcladora, echamos los siguientes ingredientes en el vaso. Enfriar la crema evitando los grumos Con ayuda de una jeringa pastelera introducimos la crema en cada buñuelo Espolvorear azúcar glasé.",7
bizcocho-moreno-de-limon,Bizcocho moreno de limón,Dulces y repostería,31,1,"Azúcar moreno, Margarina, Ralladura de limón, Huevos talla L, Harina de trigo tamizada, Levadura tipo Royal, Zumo de limón",2424.4199999999996,54.529199999999996,389.3254,75.64439999999999,"Colocar la paleta mezcladora y echar en la jarra el azucar, la mantequilla fundida y la ralladura del limón. Incorporar los huevos Hechar la harina tamizada, la levadura y el zumo de limon En un molde bajo y ancho (en uno alto y estrecho no se horneara bien) previamente engrasado con margarina y enharinado, echar la mezcla que hemos preparado.
Hornear 25 minutos",4
lentejas-con-quinoa-y-verduritas-deshidratadas,Lentejas con quinoa y verduritas deshidratadas,Potajes y legumbres,32,1,"Aceite de oliva extra, Puerros, Zanahoria, Taquitos de jamón serrano, Lentejas con quinoa y verduritas, Agua, Sal",216.75,0.9349999999999999,2.9662500000000005,22.63,"Sofreir el aceite. Optativo, se puede añadir zanahorias , puerros frescos, un poco de jamón .... Si añadimos algo 2 minutos, si no con 1 minuto es suficiente. Añadir las lentejas con la quinoa y las verduritas deshidratadas y remover. Añadir el agua caliente y la sal y calentar a fuego alto hasta que comience a hervir Cocinar a fuego medio",4
rissoto-toscana-con-vegetales-deshidratados,Rissoto Toscana con tomate y albahaca desidratada,Arroces,25,2,"Aceite de oliva virgen extra, Preparado de arroz con tomate y albahaca, Vino blanco para cocinar, Sal, Agua",155.66666666666666,0.08333333333333333,1.05,16.666666666666668,"Echar 50 g de aceite y sofreir Incorporar el contenido de la bandeja de arroz  con tomate y albahaca deshidratado TREVIJANO y remover Añadir la sal y el vino blanco y dejar que se evapore Añadir en un primer momento el agua suficiente para cubrir las aspas de la paleta para que se suelte el arroz (unos 500 ml) y una vez la mezcla se homogenice, ir añadiendo poco a poco el resto de agua caliente unos 300 ml de forma que vaya quedando meloso, aldente y suelto. Ajustar el tiempo según gustos. Se puede cambiar el agua por caldo de carne o pescado en todo o en parte y añadir en los últimos minutos algo de ternera o pollo con el caldo de carne, o gambas peladas con el caldo de pescado. Retirar el arroz de la jarra y si te gusta mezclar con queso parmesano rallado y servir.",5
crema-chantilly-para-rellenos,Crema chantilly (para rellenos),Dulces y repostería,6,2,"Azúcar blanco, Nata para montar mínimo 35% MG, Azúcar avainillado, Queso de untar light",519.275,3.5574999999999997,27.739,45.115,"Pulverizamos durante 45 segundos 70grs de azúcar blanco para conseguir azúcar en polvo o azúcar glass y lo sacamos de la jarra. Reservamos el azúcar glass en un recipiente y limpiamos y secamos la jarra. Cuando esté limpia y seca la metemos en la nevera (media hora aprox.) o en el congelador (unos 10 minutos) hasta que esté bien fría.
Para que la nata se monte bien, la jarra y la nata para montar deben estar bien frías ambas, es muy importante. Con la jarra y la nata para montar bien frías ambas, colocamos la paleta mezcladora e introducimos la nata para montar, agitándola y esparciéndola por todo el brick abriendo los bordes y apretando con los dedos (esto es para que la grasa esté presente en la nata y no se quede en el brick) y comenzamos a montarla. Mezclamos los 2 tipos de azúcar y continuamos montando la nata. En este paso podemos quitar el vaso dosificador y a través del hueco vamos echando los 100grs de azúcares (70 glass + 30 avainillado) poco a poco o a cucharaditas de una en una. Si echamos todo el azúcar de golpe la nata se cortará. Añadimos 1 c/c de queso de untar light por cada 100ml de nata, en nuestro caso, 5 cucharadas de café y seguimos montando. En este paso notaremos que el sonido de la nata cambia según se va espesando. En el momento en que veamos que empiezan a formarse unos surcos en la parte superior de la nata significará que está suficientemente montada. Reservamos la crema en un cuenco o envase que preserve el frío y lo metemos en la nevera tapado con film de plástico hasta su uso.",6
crema-de-cacahuete-sana,Crema de cacahuete sana,Dulces y repostería,5,1,Cacahuetes,2835.0,129.0,80.65,246.2,Triturar los cacahuetes hasta que se haga mantequilla.,1
bizcocho-de-coco-para-tarta-de-cumpleanos,Bizcocho de aceite de  coco,Dulces y repostería,69,1,"Huevo, Azúcar blanquilla, Aceite de coco, Leche, Harina de repostería, Levadura de repostería, Agua, Coco rallado",349.1966666666667,6.743100000000001,41.7437,17.2201,Introduce los huevos en el baso y batir Añadir el azúcar Añadir aceite de coco Añadir la leche Añadir los ingredientes sólidos Añadimos agua caliente. Metemos la masa en el molde y lo horneamos Dejamos enfriar el bizcocho 10 minutos antes de desmoldarlo para evitar que se rompa y espolvoreamos coco rallado por encima del bizcocho,8
gazpacho-de-beatriz,Gazpacho de beatriz,Verduras y hortalizas,4,1,"Tomate pera, Ajo, Pimiento verde, Cebolla, Vinagre, Sal, Aceite de oliva virgen extra, Agua",197.91250000000002,2.497,11.654250000000001,16.7875,todo en la jarra,1
